Mod_Wheel, 1 Mod_Wheel;
Data_Entry_MSB, 6 Data_Entry_MSB;
Volume, 7 Volume;
Pan, 10 Pan;
Expression, 11 Expression;
Data_Entry_LSB, 38 Data_Entry_LSB;
Sustain_Pedal, 64 Sustain_Pedal;
Filter_Resonance, 71 Filter_Resonance;
Release_Time, 72 Release_Time;
Attack_Time, 73 Attack_Time;
Filter_Frequency, 74 Filter_Frequency;
Decay_Time, 75 Decay_Time;
Vibrato_Rate, 76 Vibrato_Rate;
Vibrato_Depth, 77 Vibrato_Depth;
Vibrato_Delay, 78 Vibrato_Delay;
Reverb_Level, 91 Reverb_Level;
Tremolo_Level, 92 Tremolo_Level;
Chorus_Level, 93 Chorus_Level;
Celeste_Level, 94 Celeste_Level;
Phaser_Level, 95 Phaser_Level;
Non_Reg_Param_LSB, 98 Non_Reg_Param_LSB;
Non_Reg_Param_MSB, 99 Non_Reg_Param_MSB;
Reg_Param_Num_LSB, 100 Reg_Param_Num_LSB;
Reg_Param_Num_MSB, 101 Reg_Param_Num_MSB;
All_Controllers_Off, 121 All_Controllers_Off;
All_Notes_Off, 123 All_Notes_Off;
